[2026-07-26 21:06:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:46] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:50] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:52:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:52] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:52:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:56] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:06] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:11] sensors/moisture: {'value': 7, 'level': 'dry'}
[2026-07-26 22:53:12] sensors/moisture: {'value': 1528, 'level': 'wet'}
[2026-07-26 22:53:13] sensors/moisture: {'value': 1495, 'level': 'wet'}
[2026-07-26 22:53:14] sensors/moisture: {'value': 1500, 'level': 'wet'}
[2026-07-26 22:53:15] sensors/moisture: {'value': 1496, 'level': 'wet'}
[2026-07-26 22:53:16] sensors/moisture: {'value': 1482, 'level': 'wet'}
[2026-07-26 22:53:17] sensors/moisture: {'value': 1250, 'level': 'wet'}
[2026-07-26 22:53:18] sensors/moisture: {'value': 1214, 'level': 'wet'}
[2026-07-26 22:53:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:21] sensors/moisture: {'value': 1623, 'level': 'wet'}
[2026-07-26 22:53:22] sensors/moisture: {'value': 1512, 'level': 'wet'}
[2026-07-26 22:53:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:25] sensors/moisture: {'value': 1580, 'level': 'wet'}
[2026-07-26 22:53:26] sensors/moisture: {'value': 1578, 'level': 'wet'}
[2026-07-26 22:53:27] sensors/moisture: {'value': 1556, 'level': 'wet'}
[2026-07-26 22:53:28] sensors/moisture: {'value': 1495, 'level': 'wet'}
[2026-07-26 22:53:29] sensors/moisture: {'value': 1527, 'level': 'wet'}
[2026-07-26 22:53:30] sensors/moisture: {'value': 1547, 'level': 'wet'}
[2026-07-26 22:53:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:46] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:56] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:53:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:06] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:13] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:14] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:15] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:54:16] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:18] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:22] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:54:23] sensors/moisture: {'value': 0, 'level': 'dry'}
